[[-9010.694762182244, 639.8481008555366], [-265.40349447639187, 333.864624358502], [-1080.4242600454256, 12864.088747885753], [-265.84751448024724, 444.14676044341246], [-970.274246469971, 465.84606607916805]]
[[-642.3180797200472, 164.29491282306483], [-612.0638424486276, 388.1198233084519], [-1853.5353173830536, 3977.6643075699526], [-924.8451611165083, 96.11326705346471], [-3791.4434898523186, 4003.259665051216]]
[[-1450.1986862349825, 946.9038254130186], [-1463.706923477261, 520.2858383183257], [-14148.576406188397, 434.9569454553114], [-443.28470971654133, 302.58181944777033], [-3686.378374762718, 1462.0677167159429]]
[[-539.4182561965906, 670.8007735322423], [-335.40089679788235, 3085.893425135257], [-1863.4053909912113, 4858.536186380241], [-419.20004533723363, 140.31865163093138], [-3265.15102170902, 12823.085103386202]]
[[-188.6436807866751, 1869.4712001628643], [-1214.7487649646916, 222.4465309030804], [-1937.0240515377536, 37230.96150981155], [-2272.699059854316, 64.13146248560058], [-590.2828279572269, 4484.109754306895]]
[[-700.4206956378827, 2096.4485217518513], [-961.1305591844298, 1337.4983825980623], [-708.5210341555337, 2569.7837279514], [-179.71525531479628, 193.85864752177656], [-2500.9558191427664, 428.5309055835746]]
[[-780.8932938952927, 2041.5630913627915], [-1972.7300711051275, 367.0087546206628], [-5375.060116299139, 955.487415310046], [-72.12572083597237, 46.79857817409781], [-2020.3980676436715, 8521.750241532924]]
[[-279.4834606984961, 162.90371745127234], [-164.23786076676544, 229.41319054394393], [-2884.0128715269384, 2107.370619053093], [-115.7138750426865, 141.48984303646014], [-493.2891154838996, 866.9697679228435]]
[[-244.44991503597078, 693.185966438396], [-3278.8024565195497, 2081.7882147746545], [-843.1193059147691, 7722.566807736658], [-30.271478054720973, 63.083255106995246], [-816.3252129348463, 6209.820890334637]]
[[-156.74876777468285, 417.4126498331727], [-1351.2430234008468, 728.1526836935733], [-10487.607359609641, 398.81550074662556], [-532.4307026406424, 77.10622533976017], [-1572.4832333121178, 9269.376902196274]]
[[-869.713455581481, 8346.908182120853], [-93.06901610095758, 4053.5141422822685], [-3231.534195407944, 549.4851148970878], [-59.51103363866027, 74.4966807575038], [-6021.770234595758, 1924.5866790523078]]
[[-360.95049692117414, 1295.2201087056333], [-1069.6279447778477, 308.2016146479518], [-2135.9830988499675, 7358.791259001421], [-1110.3803906335056, 214.0986241799275], [-2053.2272623582912, 14212.574056306865]]
[[-138.62922143558873, 271.3276256704045], [-1017.8310655895456, 120951.34266617555], [-1374.1822399716727, 333.1269149932045], [-341.2967480727063, 568.1860966010274], [-206.25594560884215, 1077.813591333763]]
[[-230.23481883826125, 35126.34445583032], [-771.4333959251774, 173.710726498732], [-840.2539859452291, 16011.387421339718], [-114.7779548927392, 216.95360423289966], [-1941.6647895324243, 3778.5473523905484]]
[[-337.7521944884132, 548.5917636505785], [-13146.56885564724, 757.4467787100208], [-502.8870655265097, 3562.8714519846963], [-1140.91094607548, 132.76906563924544], [-7931.945692865215, 2865.7637514825465]]
[[-371.1021302209444, 330.0841972808186], [-636.6516467060056, 943.4225021576665], [-237.76837567250666, 2890.073674045469], [-422.3776282273782, 3204.6545649219665], [-1312.3874893377463, 980.603457815966]]
[[-4093.3908144521592, 1586.6516873324824], [-30706.160318553997, 596.7123119908395], [-35537.522040705255, 2725.7729397500584], [-62.91236718465409, 112.25307175187551], [-1264.3114039500676, 3061.2592328616197]]
[[-3345.1860597080986, 759.6836523881362], [-778.2734603071785, 1536.142049001505], [-715.7987034856654, 825.8974544329063], [-52.746190087407385, 815.5345466531852], [-2927.957913631983, 7359.35101862115]]
[[-1206.9592052335017, 2338.244213530893], [-1964.2075982987774, 844.3219265667223], [-13739.9930719547, 7243.9521641957535], [-701.243674820801, 268.01616156132246], [-2677.3083120435635, 562.7241390562746]]
[[-3104.73839141655, 930.2274282398986], [-5462.3606828866605, 953.1503186264828], [-524.1608365208165, 1439.643923404393], [-67.30392363655317, 73.18492732380787], [-681.7961822198124, 919.6319109619843]]
[[-992.8139259841861, 1235.945041295981], [-1247.611827884866, 129.76250581199787], [-2127.6572759473593, 1619.7909309139116], [-567.2514600199922, 97.81648858518248], [-5357.982574146445, 3028.1867625056097]]
[[-1664.647534235913, 546.7951987828144], [-525.3129478203248, 15975.838425387614], [-18169.59890589071, 907.6629200979214], [-48.00628955986954, 72.86218825122597], [-25072.18543763844, 2385.129925870835]]
[[-891.0222814767661, 467.5817221323373], [-15422.454507929153, 6914.25872747337], [-964.0574699704584, 3980.9772774504663], [-61.80990681952085, 210.480780642356], [-2767.366510035403, 1468.9201637390734]]
[[-2109.970190183371, 375.82646959643745], [-402.0319834078911, 1365.4262694926017], [-756.2503183764516, 1206.4549299714536], [-1087.0969481837744, 708.5930129985994], [-11918.91381725778, 1002.1126028830022]]
[[-378.50530222601054, 404.13800521724687], [-223.5516894341853, 1532.79469497626], [-2242.2732366254836, 6815.3316783172695], [-419.4490675976507, 109.92626281701963], [-2236.0192770564877, 1299.4885637098496]]
[[-1494.5664423877379, 302.5057318858268], [-313.9079364607675, 159.95209021820233], [-995.5854674318908, 2459.9161119272126], [-49.33999953077577, 329.5580832275684], [-305.3671786324894, 2950.2896495917653]]
[[-345.76258263010004, 3375.081115284469], [-880.8666129526748, 609.2702761052237], [-2622.2613941974955, 1318.2323750955375], [-611.5147220718284, 149.68538671734203], [-8599.143403220183, 6146.177398317261]]
[[-261.6643135810806, 1467.7677726670256], [-424.9887925399848, 3336.623447721314], [-326.03655615636654, 16832.079262287243], [-87.25742525097878, 43.700123819483196], [-67630.28941505963, 2327.2094447681993]]
[[-838.0168016251371, 889.9209646382933], [-849.489500252913, 387.5880780437501], [-2576.504582699199, 2536.7635848036207], [-57.605644902872335, 62.115307879050505], [-1595.063265688418, 3222.0713095567107]]
[[-14703.436316897749, 11260.161227329381], [-1332.4638856742345, 261.3067992011014], [-40756.014666327945, 1145.3596073809802], [-62.911388097748144, 27.725690860282533], [-39730.27650236476, 5015.119655536171]]
[[-359.5080758112536, 9193.174425760382], [-318.4360451490806, 144.23452439205835], [-17172.177702293528, 90572.4811442454], [-353.26700878208527, 294.3013752320439], [-1238.8512720756494, 1724.383156177737]]
[[-731.9842974575182, 10117.855921913795], [-476.1403757890191, 161.83910311094715], [-289.9787454904127, 7472.122022158502], [-429.7299954215491, 223.37269814399286], [-42540.731073057876, 1239.7048141718242]]
