[[-41.77342823251439, 75.0354815443147], [-21.85107324539779, 23.9953695356321], [-77.4641037925663, 126.56822577483359], [-9.162620133382392, 13.513175452471064], [-96.94401408772315, 146.95476020899022]]
[[-35.72049352285866, 57.98958145517223], [-20.86648054943604, 23.728575313189957], [-84.5255344030625, 123.53535825030211], [-10.499762325806984, 16.499762325806984], [-89.88715091805857, 152.0551470292563]]
[[-40.99909925419727, 69.2724856035052], [-22.407028190903816, 29.218167637504592], [-84.74913358560558, 123.780521594859], [-9.304743166985675, 11.04379453358854], [-101.49770248280083, 155.61312347023957]]
[[-45.20685577701437, 70.56587726235531], [-21.891644059531373, 27.102162070216234], [-76.06186557955338, 125.55074940046207], [-10.661946447655975, 16.256883247400832], [-95.95751802890378, 148.96630286280129]]
[[-49.45789819956126, 67.87752556708344], [-21.870434967368485, 28.490688271032205], [-81.17163904468879, 132.223849253228], [-10.017842523509394, 16.070511070800666], [-90.93594229841285, 139.5292595372382]]
[[-43.217075023178054, 69.77775343488392], [-20.521001096046874, 21.176433233632057], [-75.04487638046204, 124.74268850287108], [-9.921112901680877, 15.681942430000834], [-86.43415004635611, 141.04743166985676]]
[[-42.49901009971077, 70.75599565618049], [-20.521001096046874, 20.66308492030589], [-80.95154178258143, 130.05506597920666], [-9.088798179557159, 13.437035164932981], [-92.45617400182361, 141.73337576067559]]
[[-42.2690343548129, 64.18176380270472], [-24.634546841152353, 30.3674356230544], [-85.54685646502878, 133.7955375833566], [-10.724442197919576, 16.256883247400832], [-97.35217483684244, 151.35217483684244]]
[[-36.81998165641208, 61.001818568134105], [-24.72894909978063, 41.854696188801775], [-76.91051152167665, 121.99825705591788], [-10.78566256540327, 16.693357058128598], [-98.07096308862943, 152.88304256231413]]
[[-39.51928971490229, 69.04526848122264], [-21.827421805351616, 35.407546984858115], [-76.91620468764191, 121.35850241842363], [-9.437035164932981, 13.513175452471064], [-88.43438961520484, 147.34961094631524]]
[[-44.776322254033175, 70.6588376781797], [-26.051308932862405, 40.4951729093345], [-69.55347261884764, 124.71853025529246], [-9.786880156871485, 15.888135519639032], [-89.98471215830465, 157.4971393419259]]
[[-43.47115868616506, 66.30749787320897], [-23.977301424860936, 34.543948447483544], [-75.73854387990107, 121.54477528375061], [-10.499762325806984, 16.070511070800666], [-92.11673587774095, 153.99778170753183]]
[[-46.361693156610336, 70.1851758246649], [-21.874070329865962, 27.954235926923474], [-81.70017793596449, 124.39246924052452], [-10.46624616891252, 16.22052357314496], [-95.21947605198788, 151.2194760519879]]
[[-42.82675189745041, 71.16278024138688], [-26.877875044530608, 36.3605029691973], [-78.01330889125114, 120.24132659296382], [-9.429880331861892, 15.181846228433919], [-93.49039029752906, 150.28199791493785]]
[[-43.498543338751674, 67.92477686523323], [-18.4210807239537, 17.27048575192618], [-81.93331648439683, 121.18760728281049], [-10.693357058128598, 16.78566256540327], [-93.7666662955529, 161.0654823273411]]
[[-39.15720788800526, 68.31336892851361], [-23.986890633343542, 25.925347571405442], [-83.51861483497783, 116.6018120299713], [-9.437035164932981, 13.2218718074271], [-101.38220088023598, 158.51466858276007]]
[[-41.813238829367876, 73.15904696263745], [-25.57678573412485, 37.576785734124854], [-82.49822667058056, 124.31594398174535], [-10.78566256540327, 16.111434748386195], [-99.46978312187858, 142.11659941902627]]
[[-48.99889085376592, 71.44026068918029], [-23.93660410156595, 40.3906637358078], [-77.9968462668439, 123.18760728281049], [-9.952864313944636, 15.614525585955239], [-94.70024555213692, 150.63018793943246]]
[[-40.788000323213645, 69.44649407207027], [-21.60948633397135, 23.79102653472112], [-79.79270031742271, 126.84558543797318], [-10.532908171767794, 16.532908171767794], [-92.41606740687918, 142.45880688939636]]
[[-50.19097319993524, 73.65597461330374], [-22.793364024998002, 30.05253664368856], [-76.5553498968163, 133.04162783017102], [-10.78566256540327, 16.815810542965274], [-94.50434212844885, 145.5496621897616]]
[[-45.666135630502005, 66.75276401842427], [-17.90980177754288, 29.744750467481467], [-76.99819850839454, 119.59514497808905], [-10.3980691637338, 16.532908171767794], [-93.52142976784096, 146.0432845669298]]
[[-46.33788058522393, 68.38669799220943], [-21.699951837178048, 22.86898444133754], [-80.64458701913205, 128.25444680522781], [-10.292807518130267, 16.1464548805861], [-96.64944289199534, 156.09479384724938]]
[[-42.72829941423252, 67.85378439716479], [-26.64055846858558, 33.863440892023036], [-78.56822577483359, 130.00778067884772], [-10.46624616891252, 16.499762325806984], [-100.08941164272994, 158.78849125273177]]
[[-37.46073362674532, 55.25647543814991], [-26.64055846858558, 37.68134426397591], [-82.90712564552132, 124.87152931418395], [-9.488052137836057, 15.129680073130473], [-95.05165824120476, 149.05453562414203]]
[[-36.05908899354002, 44.54452437865779], [-26.49944542688296, 36.42124106079588], [-80.49822667058056, 131.98769009565893], [-10.598121042763127, 16.598121042763125], [-96.21927102329171, 160.75863362812333]]
[[-44.206308201483, 78.04739692362469], [-22.792552615507446, 35.88950517118452], [-71.26372318238764, 123.64590945141023], [-9.129680073130473, 15.129680073130473], [-92.94041399756732, 152.5199797812762]]
[[-42.04475430169399, 62.37623595267924], [-18.663059953911883, 21.316718021095262], [-80.24122062832932, 126.75229598355308], [-7.344769212953226, 12.934046377634228], [-83.5990584125391, 148.5406888506155]]
[[-49.755750089061216, 71.28933859880047], [-24.99769162515668, 36.407546984858115], [-82.34246014504214, 126.98056323125778], [-10.292807518130267, 15.788462136582005], [-97.99778170753184, 153.52243969951215]]
[[-45.6721073987336, 74.44558099920722], [-24.046639591246457, 30.046639591246457], [-82.69007966809173, 119.49963795782288], [-10.141969572455304, 15.921112901680877], [-89.12654480507578, 137.3472161161291]]
[[-39.92520725960244, 50.11744640584115], [-20.586663296879365, 17.107219993043103], [-78.49681128825844, 114.49357749560465], [-9.384955373046646, 13.302929199337074], [-90.94516571530299, 150.17614465730486]]
[[-41.10362577140255, 57.17367940644476], [-20.164160596528518, 28.979341248649433], [-76.42222206796065, 124.22652609078534], [-9.33176753563594, 14.614227967628546], [-88.16750971141994, 145.634599637206]]
[[-43.56238431695917, 68.9344614933785], [-27.15486611913994, 43.087755124714114], [-73.91061620820115, 129.74813821882137], [-8.651914588588424, 13.04740270616736], [-95.52142976784096, 145.63526766317239]]
[[-42.001818568134105, 63.729405332628644], [-28.615217831097056, 43.8421614479074], [-82.22072351738342, 114.24840788350332], [-9.921112901680877, 16.598121042763125], [-101.18214990624972, 147.24790054462835]]
[[-40.126253600357266, 59.818052448369855], [-25.756885662243832, 34.71644073125533], [-74.38778269754775, 124.81302514930076], [-10.693357058128598, 16.630203478771378], [-93.0912262034453, 146.31194922660748]]
[[-48.362489959887434, 75.19154469243406], [-24.17686669931046, 33.214580522936004], [-81.49822667058056, 116.7058979982418], [-9.358502898976148, 13.358502898976148], [-91.73052230032087, 145.39676493208856]]
[[-39.95576215283269, 61.818052448369855], [-21.976104275672114, 22.719676417755792], [-86.28530052322616, 126.97431403363186], [-10.260977025843191, 16.108723280203925], [-92.28926484996431, 143.09615922923805]]
[[-42.80878325901174, 67.23229515685838], [-25.462595592653443, 33.46259559265344], [-69.58719566310003, 118.01582723952203], [-10.260977025843191, 16.78566256540327], [-90.65346030374481, 153.52243969951215]]
